,주류종류: 소주,,,,,
,한줄리뷰: 왕십리 대학가 야장 삼겹살 노포,,,,,
,주소: 서울 중구 퇴계로 379,,,,,
,위도: 37.56529635986181,,,,,
,경도: 127.01359390965546,,,,,
,네이버지도URL: https://m.place.naver.com/place/1135620624/home,,,,,
,POINT (126.985856 37.568662),,,,,
,야장타입: 루프탑,,,,,
,분위기: 데이트,,,,,
,주류종류: 정보없음,,,,,
,한줄리뷰: 종각 루프탑 야경 보며 맥주 즐기기 최고,,,,,
,주소: 서울 종로구 청계천로 73,,,,,
,위도: 37.568661514889776,,,,,
,경도: 126.98585649105377,,,,,
,네이버지도URL: https://m.map.naver.com/search?query=%EC%84%9C%EC%9A%B8%2011-14%EB%B2%88%EC%A7%80%20%EC%BC%80%EC%A3%BC%EC%96%BC%ED%8E%8D,,,,,
,POINT (126.984927 37.544976),,,,,
,야장타입: 매장,,,,,
,분위기: 데이트,,,,,
,주류종류: 와인,,,,,
,한줄리뷰: 신흥시장 골목 야장 와인바,,,,,
,주소: 서울 용산구 신흥로 99-9,,,,,
,위도: 37.54497597956411,,,,,
,경도: 126.98492741741414,,,,,
,네이버지도URL: https://m.place.naver.com/place/1000658573/home,,,,,
,POINT (127.051629 37.505716),,,,,
,야장타입: 루프탑,,,,,
,분위기: 데이트,,,,,
,주류종류: 칵테일,,,,,
,한줄리뷰: 명동 21층 국내 최대 규모 루프탑 바로 탁 트인 야경과 고급스러운 분위기,,,,,
,주소: 서울 강남구 테헤란로 415,,,,,
,위도: 37.5057161987885,,,,,
,경도: 127.051629346313,,,,,
,네이버지도URL: https://m.place.naver.com/place/1370155656/home,,,,,
,POINT (127.036523 37.526249),,,,,
,야장타입: 루프탑,,,,,
,분위기: 왁자지껄,,,,,
,주류종류: 소주,,,,,
,한줄리뷰: 천장 열리는 루프탑에서 연탄구이와 소주,,,,,
,주소: 서울 강남구 압구정로48길 36-4,,,,,
,위도: 37.5262485002626,,,,,
,경도: 127.036522641143,,,,,
,네이버지도URL: https://m.place.naver.com/place/12804733/home,,,,,
,POINT (127.010519 37.554095),,,,,
,야장타입: 매장,,,,,
,분위기: 왁자지껄,,,,,
,주류종류: 소주,,,,,
,한줄리뷰: 다산로 포차 야장 뜨거운 포장마차,,,,,
,주소: 서울 중구 다산로 114-1,,,,,
,위도: 37.55409457825166,,,,,
,경도: 127.01051927354895,,,,,
,네이버지도URL: https://m.place.naver.com/place/1158474173/home,,,,,
,POINT (127.00422 37.645693),,,,,
,야장타입: 매장,,,,,
,분위기: 소소한,,,,,
,주류종류: 소주,,,,,
,한줄리뷰: 북한산 둘레길 야외테이블,,,,,
,주소: 서울 강북구 4.19로12길 75,,,,,
,위도: 37.6456933045111,,,,,
,경도: 127.004219669737,,,,,
